Edad,Ano ,Origen,lx
60,2019,UE 28,20388
61,2019,UE 28,19364
62,2019,UE 28,18439
63,2019,UE 28,17536
64,2019,UE 28,17090
65,2019,UE 28,16782
66,2019,UE 28,16773
67,2019,UE 28,16568
68,2019,UE 28,16601
69,2019,UE 28,16311
70,2019,UE 28,16553
71,2019,UE 28,16819
72,2019,UE 28,15523
73,2019,UE 28,12766
74,2019,UE 28,13374
75,2019,UE 28,12250
76,2019,UE 28,11216
77,2019,UE 28,10067
78,2019,UE 28,9228
79,2019,UE 28,8856
80,2019,UE 28,7230
81,2019,UE 28,6259
82,2019,UE 28,5141
83,2019,UE 28,4393
84,2019,UE 28,3815
85,2019,UE 28,3303
86,2019,UE 28,2950
87,2019,UE 28,2780
88,2019,UE 28,2368
89,2019,UE 28,1874
90,2019,UE 28,6875
0,2020,UE 28,570
1,2020,UE 28,2288
2,2020,UE 28,3980
3,2020,UE 28,5022
4,2020,UE 28,6082
5,2020,UE 28,6252
6,2020,UE 28,6705
7,2020,UE 28,6414
8,2020,UE 28,6418
9,2020,UE 28,6221
10,2020,UE 28,6192
11,2020,UE 28,6777
12,2020,UE 28,6686
13,2020,UE 28,6910
14,2020,UE 28,8220
15,2020,UE 28,8666
16,2020,UE 28,9546
17,2020,UE 28,10604
18,2020,UE 28,11607
19,2020,UE 28,13802
20,2020,UE 28,15763
21,2020,UE 28,17512
22,2020,UE 28,18281
23,2020,UE 28,19111
24,2020,UE 28,19600
25,2020,UE 28,21090
26,2020,UE 28,22260
27,2020,UE 28,23912
28,2020,UE 28,24942
29,2020,UE 28,26192
30,2020,UE 28,28136
31,2020,UE 28,30802
32,2020,UE 28,32950
33,2020,UE 28,34661
34,2020,UE 28,36060
35,2020,UE 28,35815
36,2020,UE 28,36637
37,2020,UE 28,35994
38,2020,UE 28,37332
39,2020,UE 28,39802
40,2020,UE 28,41191
41,2020,UE 28,40842
42,2020,UE 28,41284
43,2020,UE 28,41905
44,2020,UE 28,41411
45,2020,UE 28,42707
46,2020,UE 28,43107
